"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"142","Homarine",NA,"Smp","RB12LL","AB","AreatoBMIS",93187985300,"HILIC_Dil",215.5,753.7,162422.35,573738.683746418
"143","Homarine",NA,"Smp","RB12LL","CD","AreatoBMIS",81994270100,"HILIC_Dil",201.7,753.7,152021.29,539360.441553943
"144","Homarine",NA,"Smp","RB12LL","EF","AreatoBMIS",98740426900,"HILIC_Dil",255.4,753.7,192494.98,512950.659284725
"145","DHPS",NA,"Smp","LB12HL","AB","AreatoBMIS",1261711000,"HILIC_Dil",60.9,753.7,45900.33,27488.0594540388
"146","DHPS",NA,"Smp","LB12HL","CD","AreatoBMIS",1569499800,"HILIC_Dil",65.1,753.7,49065.87,31987.6076792279
"147","DHPS",NA,"Smp","LB12HL","EF","AreatoBMIS",1860277500,"HILIC_Dil",67.8,753.7,51100.86,36404.0350788617
"148","DHPS",NA,"Smp","RB12HL","AB","AreatoBMIS",3298186100,"HILIC_Dil",227.3,753.7,171316.01,19252.0599796832
"149","DHPS",NA,"Smp","RB12HL","CD","AreatoBMIS",3875793900,"HILIC_Dil",196.2,753.7,147875.94,26209.7667815332
"150","DHPS",NA,"Smp","RB12HL","EF","AreatoBMIS",4556832300,"HILIC_Dil",200.8,753.7,151342.96,30109.3113283895
"151","DHPS",NA,"Smp","LB12LL","AB","AreatoBMIS",3318397700,"HILIC_Dil",57.4,753.7,43262.38,76704.0024150313
"152","DHPS",NA,"Smp","LB12LL","CD","AreatoBMIS",2785336300,"HILIC_Dil",50.3,753.7,37911.11,73470.1859164767
"153","DHPS",NA,"Smp","LB12LL","EF","AreatoBMIS",3704733900,"HILIC_Dil",58.5,753.7,44091.45,84023.8617691185
"154","DHPS",NA,"Smp","RB12LL","AB","AreatoBMIS",8738949500,"HILIC_Dil",215.5,753.7,162422.35,53803.8607371461
"155","DHPS",NA,"Smp","RB12LL","CD","AreatoBMIS",7299475900,"HILIC_Dil",201.7,753.7,152021.29,48016.142344273
"156","DHPS",NA,"Smp","RB12LL","EF","AreatoBMIS",9796231900,"HILIC_Dil",255.4,753.7,192494.98,50890.8434910874
"157","DMSP",NA,"Smp","LB12HL","AB","AreatoBMIS",941688000,"HILIC_Dil",60.9,753.7,45900.33,20515.9309312155
"158","DMSP",NA,"Smp","LB12HL","CD","AreatoBMIS",1331003700,"HILIC_Dil",65.1,753.7,49065.87,27126.8745464006
"159","DMSP",NA,"Smp","LB12HL","EF","AreatoBMIS",1148846600,"HILIC_Dil",67.8,753.7,51100.86,22481.9425739606
"160","DMSP",NA,"Smp","RB12HL","AB","AreatoBMIS",51941094600,"HILIC_Dil",227.3,753.7,171316.01,303188.794789232
"161","DMSP",NA,"Smp","RB12HL","CD","AreatoBMIS",51186227400,"HILIC_Dil",196.2,753.7,147875.94,346143.039902232
"162","DMSP",NA,"Smp","RB12HL","EF","AreatoBMIS",56832944200,"HILIC_Dil",200.8,753.7,151342.96,375524.201456084
"163","DMSP",NA,"Smp","LB12LL","AB","AreatoBMIS",275765000,"HILIC_Dil",57.4,753.7,43262.38,6374.2447826495
"164","DMSP",NA,"Smp","LB12LL","CD","AreatoBMIS",238405900,"HILIC_Dil",50.3,753.7,37911.11,6288.54971537367
"165","DMSP",NA,"Smp","LB12LL","EF","AreatoBMIS",310350400,"HILIC_Dil",58.5,753.7,44091.45,7038.78869939637
"166","DMSP",NA,"Smp","RB12LL","AB","AreatoBMIS",6925052200,"HILIC_Dil",215.5,753.7,162422.35,42636.079332678
"167","DMSP",NA,"Smp","RB12LL","CD","AreatoBMIS",4658822200,"HILIC_Dil",201.7,753.7,152021.29,30645.8536169506
"168","DMSP",NA,"Smp","RB12LL","EF","AreatoBMIS",6120657400,"HILIC_Dil",255.4,753.7,192494.98,31796.4520425416
"169","Choline",NA,"Smp","LB12HL","AB","AreatoBMIS",2459947600,"HILIC_Dil",60.9,753.7,45900.33,53593.2443187228
"170","Choline",NA,"Smp","LB12HL","CD","AreatoBMIS",3145813400,"HILIC_Dil",65.1,753.7,49065.87,64114.0858197358
"171","Choline",NA,"Smp","LB12HL","EF","AreatoBMIS",2789586400,"HILIC_Dil",67.8,753.7,51100.86,54589.813165571
"172","Choline",NA,"Smp","RB12HL","AB","AreatoBMIS",17355185800,"HILIC_Dil",227.3,753.7,171316.01,101305.101607258
"173","Choline",NA,"Smp","RB12HL","CD","AreatoBMIS",18578081800,"HILIC_Dil",196.2,753.7,147875.94,125632.890651447
"174","Choline",NA,"Smp","RB12HL","EF","AreatoBMIS",21471283400,"HILIC_Dil",200.8,753.7,151342.96,141871.702522536
