time,lat,lon,depth,compound,treatment_type,eddy_vorticity,size_fraction_um,value
2017-10-04T16:00:07,27,27,25,2-O-alpha-D-Glucosylglycerol,Control,Anticyclonic,5,270792.6452
2017-10-04T16:00:08,27,27,25,2-O-alpha-D-Glucosylglycerol,DMB,Anticyclonic,5,337087.5806
2017-10-04T16:00:09,27,27,25,2-O-alpha-D-Glucosylglycerol,DMBnoB12,Anticyclonic,5,1086941.828
2017-10-04T16:00:10,27,27,25,2-O-alpha-D-Glucosylglycerol,DeepSeaWater,Anticyclonic,5,2884582.29
2017-10-04T16:00:11,27,27,25,2-O-alpha-D-Glucosylglycerol,noB12,Anticyclonic,5,1786126.527
2017-10-04T16:00:12,27,27,25,2-O-alpha-D-Glucosylglycerol,B12,Anticyclonic,5,164956.9892
2017-10-04T16:00:13,27,27,15,2-O-alpha-D-Glucosylglycerol,Time0,Anticyclonic,5,99803.03226
2017-07-04T08:55:00,25,25,25,"2,5-Dihydroxybenzoic acid",Control,Cyclonic,0.2,71739.76344
2017-07-04T08:55:00,25,25,25,"2,5-Dihydroxybenzoic acid",DMB,Cyclonic,0.2,36854.94624
2017-07-04T08:55:01,25,25,25,"2,5-Dihydroxybenzoic acid",DMBnoB12,Cyclonic,0.2,52999.83871
2017-07-04T08:55:02,25,25,25,"2,5-Dihydroxybenzoic acid",DeepSeaWater,Cyclonic,0.2,74269
2017-07-04T08:55:03,25,25,25,"2,5-Dihydroxybenzoic acid",noB12,Cyclonic,0.2,81852.96774
2017-07-04T08:55:04,25,25,25,"2,5-Dihydroxybenzoic acid",B12,Cyclonic,0.2,70527.06452
2017-07-04T08:55:00,25,25,15,"2,5-Dihydroxybenzoic acid",Time0,Cyclonic,0.2,62284.82796
2017-07-04T08:55:00,25,25,25,"2,5-Dihydroxybenzoic acid",Control,Cyclonic,5,114284.3226
2017-07-04T08:55:00,25,25,25,"2,5-Dihydroxybenzoic acid",DMB,Cyclonic,5,72668.69892
2017-07-04T08:55:01,25,25,25,"2,5-Dihydroxybenzoic acid",DMBnoB12,Cyclonic,5,70427.27957
2017-07-04T08:55:02,25,25,25,"2,5-Dihydroxybenzoic acid",DeepSeaWater,Cyclonic,5,40174.04301
2017-07-04T08:55:03,25,25,25,"2,5-Dihydroxybenzoic acid",noB12,Cyclonic,5,129959.6022
2017-07-04T08:55:04,25,25,25,"2,5-Dihydroxybenzoic acid",B12,Cyclonic,5,31908.10753
2017-07-04T08:55:00,25,25,15,"2,5-Dihydroxybenzoic acid",Time0,Cyclonic,5,75205.10753
2017-10-04T16:00:00,27,27,25,"2,5-Dihydroxybenzoic acid",Control,Anticyclonic,0.2,29434.37634
2017-10-04T16:00:01,27,27,25,"2,5-Dihydroxybenzoic acid",DMB,Anticyclonic,0.2,14987.07527
2017-10-04T16:00:02,27,27,25,"2,5-Dihydroxybenzoic acid",DMBnoB12,Anticyclonic,0.2,13746
2017-10-04T16:00:03,27,27,25,"2,5-Dihydroxybenzoic acid",DeepSeaWater,Anticyclonic,0.2,26292.39785
2017-10-04T16:00:04,27,27,25,"2,5-Dihydroxybenzoic acid",noB12,Anticyclonic,0.2,20828.86022
2017-10-04T16:00:05,27,27,25,"2,5-Dihydroxybenzoic acid",B12,Anticyclonic,0.2,18358.24731
2017-10-04T16:00:06,27,27,15,"2,5-Dihydroxybenzoic acid",Time0,Anticyclonic,0.2,16077.84946
2017-10-04T16:00:07,27,27,25,"2,5-Dihydroxybenzoic acid",Control,Anticyclonic,5,117812.6559
2017-10-04T16:00:08,27,27,25,"2,5-Dihydroxybenzoic acid",DMB,Anticyclonic,5,120171.3226
2017-10-04T16:00:09,27,27,25,"2,5-Dihydroxybenzoic acid",DMBnoB12,Anticyclonic,5,60069.29032
2017-10-04T16:00:10,27,27,25,"2,5-Dihydroxybenzoic acid",DeepSeaWater,Anticyclonic,5,81296.04301
2017-10-04T16:00:11,27,27,25,"2,5-Dihydroxybenzoic acid",noB12,Anticyclonic,5,207111.4516
2017-10-04T16:00:12,27,27,25,"2,5-Dihydroxybenzoic acid",B12,Anticyclonic,5,125886.5054
2017-10-04T16:00:13,27,27,15,"2,5-Dihydroxybenzoic acid",Time0,Anticyclonic,5,650229.8925
2017-07-04T08:55:00,25,25,25,3-Sulfopyruvic acid,Control,Cyclonic,0.2,12575.68642
2017-07-04T08:55:00,25,25,25,3-Sulfopyruvic acid,DMB,Cyclonic,0.2,
2017-07-04T08:55:01,25,25,25,3-Sulfopyruvic acid,DMBnoB12,Cyclonic,0.2,
2017-07-04T08:55:02,25,25,25,3-Sulfopyruvic acid,DeepSeaWater,Cyclonic,0.2,6504.03088
2017-07-04T08:55:03,25,25,25,3-Sulfopyruvic acid,noB12,Cyclonic,0.2,21344.54491
2017-07-04T08:55:04,25,25,25,3-Sulfopyruvic acid,B12,Cyclonic,0.2,
2017-07-04T08:55:00,25,25,15,3-Sulfopyruvic acid,Time0,Cyclonic,0.2,6389.431441
2017-07-04T08:55:00,25,25,25,3-Sulfopyruvic acid,Control,Cyclonic,5,37992.38623
2017-07-04T08:55:00,25,25,25,3-Sulfopyruvic acid,DMB,Cyclonic,5,
2017-07-04T08:55:01,25,25,25,3-Sulfopyruvic acid,DMBnoB12,Cyclonic,5,
2017-07-04T08:55:02,25,25,25,3-Sulfopyruvic acid,DeepSeaWater,Cyclonic,5,
2017-07-04T08:55:03,25,25,25,3-Sulfopyruvic acid,noB12,Cyclonic,5,
2017-07-04T08:55:04,25,25,25,3-Sulfopyruvic acid,B12,Cyclonic,5,
2017-07-04T08:55:00,25,25,15,3-Sulfopyruvic acid,Time0,Cyclonic,5,
2017-10-04T16:00:00,27,27,25,3-Sulfopyruvic acid,Control,Anticyclonic,0.2,
